name,city,country,lat,lng
Cairo Regional Internet Exchange,Cairo,Egypt
Middle East Internet Exchange,,Egypt
UAE Internet Exchange (UAE-IX),,United Arab Emirates
Etisalat Smarthub IPX,,United Arab Emirates
Equinix,Sydney,Australia
PIPE Networks,Brisbane,Australia
AUSIX,Melbourne,Australia
Brisbane Internet Exchange,Brisbane,Australia
Lismore Internet Exchange,Lismore,Australia
MEL BONE,Melbourne,Australia
Melbourne NAPette,Melbourne,Australia
Newcastle Internet Exchange,Newcastle,Australia
South Australian Internet Exchange,Adelaide,Australia
Sydney Internet Exchange,Sydney,Australia
Victorian Internet Exchange,Victoria,Australia
Western Australian Internet Exchange,Perth,Australia
Wollongong Internet Exchange,Wollongong,Australia
ExchangeNET,,New Zealand
BC Internet Exchange,,Canada
Greater Toronto International Internet Exchange,,Canada
Niagara Region International Internet Exchange,,Canada
Ottawa Internet Exchange,Ottawa,Canada
Quebec Internet Exchange,Quebec,Canada
Toronto Internet Exchange,Toronto,Canada
Montreal Internet Exchange,Montreal,Canada
Winnipeg Internet Exchange,Winnipeg,Canada
Calgary Internet Exchange,Calgary,Canada
AADS (IXP),Chicago,United States
Any2,Los Angeles,United States
ArizonaIX,Phoenix,United States
Telx Internet Exchange,,United States
,Atlanta,United States
Phoenix,Phoenix,United States
Big APE,New York City,United States
BNIIX,Buffalo,United States
Boston Internet Exchange,Boston,United States
C3IX,San Luis Obispo,United States
ChIX,Chicago,United States
GCIIX,Chicago,United States
Hawaii Internet eXchange,Hawaii,United States
LAIIX,Los Angeles,United States
MAE-Central,,United States
MAE-East,,United States
MAE-West,,United States
Midwest Internet Cooperative Exchange,Minneapolis,United States
Northern Lights Local Exchange Point,Minneapolis,United States
NAP of the Americas|NAP of the Americas (NOTA),Miami,United States
Terremark,Culpeper,United States
NWAX,Portland,United States
NYIIX,New York,United States
PHLIX,Philadelphia,United States
SFMIX,San Francisco,United States
Seattle Internet Exchange,Seattle,United States
SOAX,Medford,United States
Switch and Data,PAIX,United States
Switch and Data's Peering And Internet eXchanges,Atlanta (Georgia),United States
Switch and Data's Peering And Internet eXchanges,Dallas (Texas),United States
Switch and Data's Peering And Internet eXchanges,Miami (Florida),United States
Switch and Data's Peering And Internet eXchanges,New York City (New York),United States
Switch and Data's Peering And Internet eXchanges,Palo Alto (California),United States
Switch and Data's Peering And Internet eXchanges,San Jose (California),United States
Switch and Data's Peering And Internet eXchanges,Seattle (Washington),United States
Switch and Data's Peering And Internet eXchanges,Vienna (Virginia),United States
Puerto Rico Bridge Initiative (PRBI),San Juan,Puerto Rico
InteRed,,Panama
CARIX,,Curaçao
OCIX,,Sint Maarten
Grenada Internet Exchange (GREX),,Grenada
Dominica National Internet Exchange Point (DANIX),,Dominica
CABASE,,Argentina
PTT Metro,Belo Horizonte,Brazil
PTT Metro,Brasília,Brazil
PTT Metro,Curitiba,Brazil
PTT Metro,Florianópolis,Brazil
PTT Metro,Fortaleza,Brazil
PTT Metro,Londrina,Brazil
PTT Metro,Porto Alegre,Brazil
PTT Metro,Rio de Janeiro,Brazil
PTT Metro,Salvador de Bahia,Brazil
PTT Metro,São Paulo,Brazil
NAP do Brasil,São Paulo,Brazil
PTT Moebius,Rio de Janeiro,Brazil
NAP.cl,,Chile
NAP Colombia,,Colombia
NAP Ecuador,,Ecuador
NAP.pe,,Peru
