name,city,country,lat,lng
MAE Frankfurt,Frankfurt,Germany,50.1100866,8.6996846
Munich Commercial Internet Exchange,Munich,Germany,48.14642,11.56561
Nürnberger Internet Exchange,Nuremberg,Germany,49.4476332,11.080251
Athens Internet Exchange,Athens,Greece,37.9837155,23.7293097
Greek Internet Exchange,Athens,Greece,37.9837155,23.7293097
Budapest Internet Exchange,Budapest,Hungary,47.497912,19.040235
Reykjavik Internet Exchange|Reykjavík Internet Exchange,Reykjavík,Iceland,64.1526754,-21.9509196
Internet Neutral Exchange,Dublin,Ireland,53.3498053,-6.2603097
Friuli Venezia Giulia Internet Exchange,Udine,Italy,46.0710668,13.2345794
Milan Internet Exchange,Milan,Italy,45.4654542,9.186516
Torino Piemonte Exchange Point,Turin,Italy,45.070982,7.685676
Tuscany Internet Exchange,Florence,Italy,43.7710332,11.2480006
Kosovo Internet Exchange,Pristina,Kosovo,42.672421,21.164539
Latvian Internet Exchange,Riga,Latvia,56.9508098,24.1163132
Santa Monica Internet Local Exchange,Riga,Latvia,56.9508098,24.1163132
Rheintal Internet Exchange,Liechtenstein,Liechtenstein,47.166,9.555373
Lithuanian Internet Exchange,Vilnius,Lithuania,54.6871555,25.2796514
Luxembourg Internet Exchange,Luxembourg,Luxembourg,49.611621,6.1319346
Luxembourg Commercial Internet Exchange,Luxembourg,Luxembourg,49.611621,6.1319346
Malta Internet Exchange,Msida,Malta,35.8977778,14.4894444
Moldavian Internet Exchange,Chişinău,Moldova,47.026859,28.841551
Amsterdam Internet Exchange,Amsterdam,Netherlands,52.3702157,4.8951679
Netherlands Internet Exchange,Amsterdam,Netherlands,52.3702157,4.8951679
Nederlands-Duitse Internet Exchange,Enschede,Netherlands,52.222363,6.890257
Groningen Internet Exchange,Groningen,Netherlands,53.2193835,6.5665018
Friese Internet Exchange,Leeuwarden,Netherlands,53.223301,5.7516999
XchangePoint Amsterdam IPP,Amsterdam,Netherlands,52.3702157,4.8951679
Den Haag Internet Exchange,The Hague,Netherlands,52.0899071,4.2806321
Rotterdam Internet eXchange,Rotterdam,Netherlands,51.9226584,4.4791885
Norwegian Internet Exchange,Oslo,Norway,59.9138688,10.7522454
Free Internet eXchange Oslo,Oslo,Norway,59.9138688,10.7522454
Polish Internet Exchange,Warsaw,Poland,52.2296756,21.0122287
Warsaw Internet Exchange,Warsaw,Poland,52.2296756,21.0122287
GIGAbit Portuguese Internet Exchange,Lisbon,Portugal,38.7252993,-9.1500364
Romanian Network for Internet Exchange,Bucharest,Romania,44.4325,26.1038889
InterLAN Internet Exchange,Bucharest,Romania,44.4325,26.1038889
Tomis Internet eXchange,Constanța,Romania,44.1733333,28.6383333
Chelyabinsk Peering Point Ural,Chelyabinsk,Russia,55.1745331,61.4266808
DataIX,Saint Petersburg,Russia,59.9342802,30.3350986
EKT-IX,Yekaterinburg,Russia,56.82593,60.605458
PIRIX,Saint Petersburg,Russia,59.9342802,30.3350986
KZN-IX,Kazan,Russia,55.6091711,49.2777402
NSK-IX,Novosibirsk,Russia,55.0166667,82.9333333
RND-IX,Rostov,Russia,47.2166667,39.7
Samara Internet Exchange,Samara,Russia,53.2333333,50.1666667
Saint Petersburg Internet Exchange,Saint Petersburg,Russia,59.9342802,30.3350986
SVAO-IX,Moscow,Russia,55.755826,37.6173
VLV-IX,Vladivostok,Russia,43.3991667,132.1513889
Serbian Open eXchange,Belgrade,Serbia,44.8205556,20.4622222
Slovak Internet Exchange,Bratislava,Slovakia,48.1458992,17.1071342
Slovenian Internet Exchange,Ljubljana,Slovenia,46.0564509,14.5080702
Catalunya Neutral Internet Exchange,Barcelona,Spain,41.3850639,2.1734035
Nap de las Americas,Terremark,Spain,0,0
España Internet Exchange,Madrid,Spain,40.4167754,-3.7037902
Galicia Neutral Internet Exchange,Santiago de Compostela,Spain,42.870842,-8.544697
Punto Neutro Vasco,San Sebastián,Spain,43.3182663,-1.9806448
BOR-IX,Borås,Sweden,57.721035,12.939819
IXOR,Malmö,Sweden,55.604981,13.003822
Netnod Internet Exchange i Sverige,Stockholm,Sweden,59.32893,18.06491
GIX,Göteborg,Sweden,57.70887,11.97456
SOL-IX,Stockholm,Sweden,59.32893,18.06491
STHIX,Stockholm,Sweden,59.32893,18.06491
NorrNod,Umeå,Sweden,63.8258471,20.2630354
CERN Internet Exchange Point,Geneva,Switzerland,46.1983922,6.1422961
Swiss Internet Exchange,Zürich,Switzerland,47.3686498,8.5391825
Telehouse Internet Exchange,Zürich,Switzerland,47.3686498,8.5391825
Rheintal Internet Exchange,Rhine Valley,Switzerland,0,0
Ukrainian Internet Exchange Network (UA-IX),Kiev,Ukraine,50.4501,30.5234
Digital Telecom Internet Exchange,Kiev,Ukraine,50.4501,30.5234
Donetsk Internet Exchange Point,Donetsk,Ukraine,48.002141,37.696233
Kharkiv Internet Exchange,Kharkiv,Ukraine,49.9935,36.230383
Kherson Internet Exchange,Kherson,Ukraine,46.635417,32.616867
Odessa Internet Exchange,Odessa,Ukraine,46.484583,30.7326
Zaporizhia Internet Exchange,Zaporizhia,Ukraine,47.8388,35.139567
IXLeeds,Leeds,United Kingdom,53.801279,-1.548567
IX Manchester,Manchester,United Kingdom,53.479324,-2.2484851
London Internet Exchange,London,United Kingdom,51.4894138,-0.1230915
London Internet Providers Exchange,London,United Kingdom,51.4894138,-0.1230915
London Network Access Point,London,United Kingdom,51.4894138,-0.1230915
Manchester Commercial Internet Exchange,Manchester,United Kingdom,53.479324,-2.2484851
Manchester Network Access Point,Manchester,United Kingdom,53.479324,-2.2484851
Meridian Gate Internet Exchange,London,United Kingdom,51.4894138,-0.1230915
Packet Exchange,London,United Kingdom,51.4894138,-0.1230915
Redbus Internet Exchange,London,United Kingdom,51.4894138,-0.1230915
xChangepoint,London,United Kingdom,51.4894138,-0.1230915
Beirut Internet Exchange,Beirut,Lebanon,33.8886289,35.4954794
Cairo Internet Exchange,Cairo,Egypt,30.0444196,31.2357116
Cairo Regional Internet Exchange,Cairo,Egypt,30.0444196,31.2357116
Equinix,Sydney,Australia,-33.873651,151.2068896
PIPE Networks,Brisbane,Australia,-27.4989292,152.9170055
AUSIX,Melbourne,Australia,-37.8211528,144.9583094
Brisbane Internet Exchange,Brisbane,Australia,-27.4989292,152.9170055
Lismore Internet Exchange,Lismore,Australia,-28.8041813,153.2834738
MEL BONE,Melbourne,Australia,-37.8211528,144.9583094
Melbourne NAPette,Melbourne,Australia,-37.8211528,144.9583094
Newcastle Internet Exchange,Newcastle,Australia,-32.9267275,151.7844433
South Australian Internet Exchange,Adelaide,Australia,-34.920603,138.6062277
Sydney Internet Exchange,Sydney,Australia,-33.873651,151.2068896
Victorian Internet Exchange,Victoria,Australia,-37.4713077,144.7851531
Western Australian Internet Exchange,Perth,Australia,-31.9510908,115.8599254
Wollongong Internet Exchange,Wollongong,Australia,-34.40624,150.8779
Ottawa Internet Exchange,Ottawa,Canada,45.3844939,-75.6180443
Quebec Internet Exchange,Quebec,Canada,46.8032826,-71.242796
Toronto Internet Exchange,Toronto,Canada,43.646667,-79.376121
Montreal Internet Exchange,Montreal,Canada,45.5086699,-73.5539925
Winnipeg Internet Exchange,Winnipeg,Canada,49.890967,-97.153381
Calgary Internet Exchange,Calgary,Canada,51.0453246,-114.0581012
AADS (IXP),Chicago,United States,41.8795848,-87.6237123
Any2,Los Angeles,United States,34.0572825,-118.3759053
ArizonaIX,Phoenix,United States,33.4535269,-112.0730317
,Atlanta,United States,33.760757,-84.399097
Phoenix,Phoenix,United States,33.4535269,-112.0730317
Big APE,New York City,United States,40.729396,-74.001306
BNIIX,Buffalo,United States,41.4555873,-90.7209746
Boston Internet Exchange,Boston,United States,42.3488895,-71.0740024
C3IX,San Luis Obispo,United States,35.2850338,-120.6533351
ChIX,Chicago,United States,41.8795848,-87.6237123
GCIIX,Chicago,United States,41.8795848,-87.6237123
Hawaii Internet eXchange,Hawaii,United States,19.8967662,-155.5827818
LAIIX,Los Angeles,United States,34.0572825,-118.3759053
Midwest Internet Cooperative Exchange,Minneapolis,United States,44.958203,-93.2740227
Northern Lights Local Exchange Point,Minneapolis,United States,44.958203,-93.2740227
NAP of the Americas|NAP of the Americas (NOTA),Miami,United States,25.796549,-80.275614
Terremark,Culpeper,United States,38.4723897,-77.9932308
NWAX,Portland,United States,45.5091312,-122.6836598
NYIIX,New York,United States,40.7143528,-74.0059731
PHLIX,Philadelphia,United States,40.087583,-74.965169
SFMIX,San Francisco,United States,37.7550372,-122.4264417
Seattle Internet Exchange,Seattle,United States,47.6499703,-122.3322085
SOAX,Medford,United States,42.3261137,-122.871976
Switch and Data,PAIX,United States,0,0
Switch and Data's Peering And Internet eXchanges,Atlanta (Georgia),United States,33.760757,-84.399097
Switch and Data's Peering And Internet eXchanges,Dallas (Texas),United States,32.7871328,-96.7959535
Switch and Data's Peering And Internet eXchanges,Miami (Florida),United States,25.796549,-80.275614
Switch and Data's Peering And Internet eXchanges,New York City (New York),United States,40.729396,-74.001306
Switch and Data's Peering And Internet eXchanges,Palo Alto (California),United States,37.4414992,-122.1583779
Switch and Data's Peering And Internet eXchanges,San Jose (California),United States,37.3356322,-121.8914346
Switch and Data's Peering And Internet eXchanges,Seattle (Washington),United States,47.6499703,-122.3322085
Switch and Data's Peering And Internet eXchanges,Vienna (Virginia),United States,38.9001381,-77.2668057
Puerto Rico Bridge Initiative (PRBI),San Juan,Puerto Rico,18.4663338,-66.1057217
PTT Metro,Belo Horizonte,Brazil,-19.862955,-43.9577552
PTT Metro,Brasília,Brazil,-15.7801482,-47.9291698
PTT Metro,Curitiba,Brazil,-25.4399199,-49.2382569
PTT Metro,Florianópolis,Brazil,-27.5938645,-48.4929681
PTT Metro,Fortaleza,Brazil,-3.779738,-38.5428287
PTT Metro,Londrina,Brazil,-23.2924626,-51.1734299
PTT Metro,Porto Alegre,Brazil,-29.9943404,-51.1711224
PTT Metro,Rio de Janeiro,Brazil,-22.9035393,-43.2095869
PTT Metro,Salvador de Bahia,Brazil,-12.9972129,-38.508839
PTT Metro,São Paulo,Brazil,-23.6827077,-46.6499127
NAP do Brasil,São Paulo,Brazil,-23.6827077,-46.6499127
PTT Moebius,Rio de Janeiro,Brazil,-22.9035393,-43.2095869
